<UNK> 1.0	SPN
TRƯỚC 1.0	TR WA KC
ĐÂY 1.0	DD AA IZ
HẦU 1.0	H AA UZ
HẾT 1.0	H EE TC
NANG 1.0	N A NGZ
NÀY 1.0	N A IZ
NGUỒN 1.0	NG UO NZ
GỐC 1.0	G OO KC
TỪ 1.0	T UW
GÂN 1.0	G AA NZ
NGỖNG 1.0	NG OO NGZ
TIẾNG 1.0	T IE NGZ
MÃ 1.0	M A
TẤU 1.0	T AA UZ
SẮC 1.0	S AW KC
LẠNH 1.0	L A NGZ
CHẠM 1.0	CH A MZ
NHAU 1.0	NH A UZ
RÊN 1.0	R EE NZ
RỈ 1.0	R I
HẲN 1.0	H AW NZ
LOẠT 1.0	L W A TC
BÀI 1.0	B A IZ
VIẾT 1.0	V IE TC
CHUYÊN 1.0	CH W IE NZ
ĐỀ 1.0	DD EE
VỀ 1.0	V EE
QUẢN 1.0	K W A NZ
TRỊ 1.0	TR I
THƯƠNG 1.0	TH WA NGZ
HIỆU 1.0	H IE UZ
HỢP 1.0	H OW PC
VỚI 1.0	V OW IZ
HƯƠNG 1.0	H WA NGZ
VỊ 1.0	V I
ĐẦU 1.0	DD AA UZ
XUÂN 1.0	S W AA NZ
ỔNG 1.0	OO NGZ
NÓI 1.0	N O IZ
Ở 1.0	OW
SÀI 1.0	S A IZ
GÒN 1.0	G O NZ
ĐÃ 1.0	DD A
HỘI 1.0	H OO IZ
ĐỒNG 1.0	DD OO NGZ
BÀ 1.0	B A
QUẢNG 1.0	K W A NGZ
VẪN 1.0	V AA NZ
ĐANG 1.0	DD A NGZ
BẬN 1.0	B AA NZ
RỘN 1.0	R OO NZ
MÀY 1.0	M A IZ
DÁM 1.0	D A MZ
CHƠI 1.0	CH OW IZ
VỢ 1.0	V OW
TAO 1.0	T A UZ
GIẾT 1.0	G IE TC
TỐNG 1.0	T OO NGZ
CỔ 1.0	K OO
HẮN 1.0	H AW NZ
ĐƯỢC 1.0	DD WA KC
VÀO 1.0	V A UZ
THÌ 1.0	TH I
THÁNG 1.0	TH A NGZ
CHỒNG 1.0	CH OO NGZ
MẤY 1.0	M AA IZ
NGÀY 1.0	NG A IZ
NẰM 1.0	N AW MZ
NGỦ 1.0	NG U
THẤY 1.0	TH AA IZ
ẤM 1.0	AA MZ
KHỦNG 1.0	KH U NGZ
EM 1.0	E MZ
GÓP 1.0	G O PC
VIÊN 1.0	V IE NZ
GẠCH 1.0	G A KC
KIỂM 1.0	K IE MZ
TRA 1.0	TR A
BÁC 1.0	B A KC
SĨ 1.0	S I
KHUYÊN 1.0	KH W IE NZ
MỔ 1.0	M OO
NỘI 1.0	N OO IZ
SOI 1.0	S O IZ
HÔM 1.0	H OO MZ
NAY 1.0	N A IZ
TỚI 1.0	T OW IZ
KHÁCH 1.0	KH A KC
ĐẨY 1.0	DD AA IZ
HÀ 1.0	H A
PHÙ 1.0	PH U
CÂN 1.0	K AA NZ
NẶNG 1.0	N AW NGZ
ÂM 1.0	AA MZ
THẦM 1.0	TH AA MZ
CHẮT 1.0	CH AW TC
CHIU 1.0	CH I UZ
NUÔI 1.0	N UO IZ
KHÔN 1.0	KH OO NZ
BẠN 1.0	B A NZ
LẢY 1.0	L A IZ
CÒ 1.0	K O
TỪNG 1.0	T UW NGZ
VAI 1.0	V A IZ
TRÒ 1.0	TR O
CHẾ 1.0	CH EE
ĐỘ 1.0	DD OO
DINH 1.0	D I NGZ
DƯỠNG 1.0	D WA NGZ
HIỂU 1.0	H IE UZ
PHỤ 1.0	PH U
HUYNH 1.0	H W I NGZ
NHẦM 1.0	NH AA MZ
CƠN 1.0	K OW NZ
GIÓ 1.0	D O
ĐẾN 1.0	DD EE NZ
BÓN 1.0	B O NZ
ĐỠ 1.0	DD OW
YẾU 1.0	IE UZ
ĐAU 1.0	DD A UZ
CÒI 1.0	K O IZ
CỌC 1.0	K O KC
TƯ 1.0	T UW
NGỰA 1.0	NG WA
CHỒM 1.0	CH OO MZ
ĐẦY 1.0	DD AA IZ
THANH 1.0	TH A NGZ
KHIẾT 1.0	KH IE TC
CHẬP 1.0	CH AA PC
NGỌN 1.0	NG O NZ
LỬA 1.0	L WA
BÙNG 1.0	B U NGZ
CHÒM 1.0	CH O MZ
XÓM 1.0	S O MZ
MỨC 1.0	M UW KC
LÃI 1.0	L A IZ
SUẤT 1.0	S W AA TC
THẤP 1.0	TH AA PC
PHIÊN 1.0	PH IE NZ
ĐẤU 1.0	DD AA UZ
THẦU 1.0	TH AA UZ
DỌC 1.0	D O KC
BÊN 1.0	B EE NZ
SÔNG 1.0	S OO NGZ
NGÀN 1.0	NG A NZ
OÁI 1.0	W A IZ
ĂM 1.0	AW MZ
SAU 1.0	S A UZ
CẢI 1.0	K A IZ
KẾ 1.0	K EE
HOẠCH 1.0	H W A KC
TƯƠNG 1.0	T WA NGZ
ÁP 1.0	A PC
DỤNG 1.0	D U NGZ
CỠI 1.0	K OW IZ
THI 1.0	TH I
ÔI 1.0	OO IZ
DÀO 1.0	D A UZ
CHIẾC 1.0	CH IE KC
MON 1.0	M O NZ
MEN 1.0	M E NZ
KHẮP 1.0	KH AW PC
NƠI 1.0	N OW IZ
TÌM 1.0	T I MZ
THẦY 1.0	TH AA IZ
CHỮA 1.0	CH WA
BỆNH 1.0	B EE NGZ
TRÁI 1.0	TR A IZ
VẢ 1.0	V A
BỔ 1.0	B OO
SẼ 1.0	S E
RỖNG 1.0	R OO NGZ
CHỨ 1.0	CH UW
SUNG 1.0	S U NGZ
MỐ 1.0	M OO
CẦU 1.0	K AA UZ
SỤP 1.0	S U PC
ĐẤT 1.0	DD AA TC
LỐI 1.0	L OO IZ
BỘ 1.0	B OO
NGUY 1.0	NG W I
HIỂM 1.0	H IE MZ
LUÔN 1.0	L UO NZ
ỔN 1.0	OO NZ
ĐỊNH 1.0	DD I NGZ
TRẤU 1.0	TR AA UZ
KHÁ 1.0	KH A
VẠCH 1.0	V A KC
TÓC 1.0	T O KC
CHÍNH 1.0	CH I NGZ
SÁCH 1.0	S A KC
ĐỐI 1.0	DD OO IZ
QUY 1.0	K W I
MÔ 1.0	M OO
THỊ 1.0	TH I
TRƯỜNG 1.0	TR WA NGZ
SƯƠNG 1.0	S WA NGZ
MÙ 1.0	M U
ĐỌNG 1.0	DD O NGZ
THÀNH 1.0	TH A NGZ
HẠT 1.0	H A TC
GIÁ 1.0	D A
BĂNG 1.0	B AW NGZ
TÀI 1.0	T A IZ
NĂNG 1.0	N AW NGZ
THIÊN 1.0	TH IE NZ
BẨM 1.0	B AA MZ
TRỐNG 1.0	TR OO NGZ
LÂN 1.0	L AA NZ
TÙNG 1.0	T U NGZ
XÈNG 1.0	S E NGZ
VUI 1.0	V U IZ
TAI 1.0	T A IZ
CHUYẾN 1.0	CH W IE NZ
DU 1.0	D U
LỊCH 1.0	L I KC
DÃ 1.0	D A
NGOẠI 1.0	NG W A IZ
TẠI 1.0	T A IZ
BÒ 1.0	B O
CẠP 1.0	K A PC
VÀNG 1.0	V A NGZ
GHÉP 1.0	G E PC
CÀNH 1.0	K A NGZ
MAI 1.0	M A IZ
GIẢO 1.0	D A UZ
THÂN 1.0	TH AA NZ
HOA 1.0	H W A
CÁNH 1.0	K A NGZ
CHỌN 1.0	CH O NZ
IN 1.0	I NZ
CHƯA 1.0	CH WA
TIỀN 1.0	T IE NZ
NHÉ 1.0	NH E
HỌP 1.0	H O PC
CƯỚP 1.0	K WA PC
ĐƯỜNG 1.0	DD WA NGZ
AN 1.0	A NZ
CHỈ 1.0	CH I
LO 1.0	L O
HẠCH 1.0	H A KC
MẸ 1.0	M E
ƠI 1.0	OW IZ
MUA 1.0	M UO
ĐỒ 1.0	DD OO
CHÓ 1.0	CH O
LỦI 1.0	L U IZ
THỦI 1.0	TH U IZ
THEO 1.0	TH E UZ
NÓ 1.0	N O
PHIM 1.0	PH I MZ
NHIỀU 1.0	NH IE UZ
CẢNH 1.0	K A NGZ
CHÉM 1.0	CH E MZ
DIỄN 1.0	D IE NZ
ĐỨNG 1.0	DD UW NGZ
KHÚC 1.0	KH U KC
GỖ 1.0	G OO
SUY 1.0	S W I
NGHĨ 1.0	NG I
GÌ 1.0	G I
TRẪM 1.0	TR AA MZ
KHỎI 1.0	KH O IZ
QUYỂN 1.0	K W IE NZ
TIỂU 1.0	T IE UZ
THUYẾT 1.0	TH W IE TC
MẠNH 1.0	M A NGZ
MƯA 1.0	M WA
ĐÓNG 1.0	DD O NGZ
GÂY 1.0	G AA IZ
TRƠN 1.0	TR OW NZ
TRỢT 1.0	TR OW TC
NÃO 1.0	N A UZ
RUNG 1.0	R U NGZ
YÊU 1.0	IE UZ
TRỪ 1.0	TR UW
BIẾT 1.0	B IE TC
TÔN 1.0	T OO NZ
TRỌNG 1.0	TR O NGZ
BẢN 1.0	B A NZ
NGẮN 1.0	NG AW NZ
NGỦN 1.0	NG U NZ
NHÁT 1.0	NH A TC
CẮT 1.0	K AW TC
HIỆN 1.0	H IE NZ
TẬN 1.0	T AA NZ
PHÍA 1.0	PH IE
XA 1.0	S A
XIN 1.0	S I NZ
KHUÂN 1.0	KH W AA NZ
VÁC 1.0	V A KC
TIẾN 1.0	T IE NZ
GẦN 1.0	G AA NZ
VỊNH 1.0	V I NGZ
BIỂN 1.0	B IE NZ
RẠN 1.0	R A NZ
VỠ 1.0	V OW
GIẶT 1.0	D AW TC
THUÊ 1.0	TH W EE
BÀN 1.0	B A NZ
TAY 1.0	T A IZ
MỀM 1.0	M EE MZ
MẠI 1.0	M A IZ
NÕN 1.0	N O NZ
NÀ 1.0	N A
TÂY 1.0	T AA IZ
GIANG 1.0	D A NGZ
KHẮC 1.0	KH AW KC
KHOẢI 1.0	KH W A IZ
XÃ 1.0	S A
A 1.0	A
NÔNG 1.0	N OO NGZ
CẦN 1.0	K AA NZ
BIẾN 1.0	B IE NZ
THỰC 1.0	TH UW KC
TÀU 1.0	T A UZ
CƯỠI 1.0	K WA IZ
CHỔI 1.0	CH OO IZ
SƠN 1.0	S OW NZ
BẰNG 1.0	B AW NGZ
BÔNG 1.0	B OO NGZ
RẤT 1.0	R AA TC
PHỔ 1.0	PH OO
THẬT 1.0	TH AA TC
SỰ 1.0	S UW
BỞI 1.0	B OW IZ
LÒNG 1.0	L O NGZ
HẬN 1.0	H AA NZ
THÙ 1.0	TH U
TỘI 1.0	T OO IZ
NỔ 1.0	N OO
DI 1.0	D I
TÍCH 1.0	T I KC
PHỖNG 1.0	PH OO NGZ
MÍT 1.0	M I TC
CHÚ 1.0	CH U
THOẢI 1.0	TH W A IZ
MÁI 1.0	M A IZ
PHÓNG 1.0	PH O NGZ
UẾ 1.0	W EE
GIỮA 1.0	D WA
CHỐN 1.0	CH OO NZ
ĐÔNG 1.0	DD OO NGZ
NGƯỜI 1.0	NG WA IZ
SỢ 1.0	S OW
CẠCH 1.0	K A KC
KHỰNG 1.0	KH UW NGZ
KHỚP 1.0	KH OW PC
SẮT 1.0	S AW TC
ỦNG 1.0	U NGZ
HỘ 1.0	H OO
KIẾN 1.0	K IE NZ
NGHỊ 1.0	NG I
PHÚ 1.0	PH U
BÚ 1.0	B U
SỮA 1.0	S WA
LẦN 1.0	L AA NZ
BẠO 1.0	B A UZ
TRUNG 1.0	TR U NGZ
LỘ 1.0	L OO
SÁNG 1.0	S A NGZ
TẠO 1.0	T A UZ
GIẤC 1.0	D AA KC
CHỜN 1.0	CH OW NZ
GIÁM 1.0	D A MZ
ĐỐC 1.0	DD OO KC
SỞ 1.0	S OW
GIÁO 1.0	D A UZ
DỤC 1.0	D U KC
ĐÀO 1.0	DD A UZ
NINH 1.0	N I NGZ
THUẬN 1.0	TH W AA NZ
ĐÈN 1.0	DD E NZ
TRƯỞNG 1.0	TR WA NGZ
CAN 1.0	K A NZ
NGĂN 1.0	NG AW NZ
TUYẾN 1.0	T W IE NZ
TIẾP 1.0	T IE PC
NGHE 1.0	NG E
ĐIỀU 1.0	DD IE UZ
NGÁT 1.0	NG A TC
RÂN 1.0	R AA NZ
RẤN 1.0	R AA NZ
NƯỚC 1.0	N WA KC
VĂN 1.0	V AW NZ
TỈNH 1.0	T I NGZ
TUM 1.0	T U MZ
XÂY 1.0	S AA IZ
DỰNG 1.0	D UW NGZ
KHẨU 1.0	KH AA UZ
TÌNH 1.0	T I NGZ
NỒNG 1.0	N OO NGZ
NÀN 1.0	N A NZ
SAY 1.0	S A IZ
ĐẮM 1.0	DD AW MZ
BUỔI 1.0	B UO IZ
PHỦ 1.0	PH U
MỸ 1.0	M I
HÀNH 1.0	H A NGZ
VIỆT 1.0	V IE TC
NAM 1.0	N A MZ
PHÊ 1.0	PH EE
DUYỆT 1.0	D W IE TC
THÍCH 1.0	TH I KC
XEM 1.0	S E MZ
TRUYỆN 1.0	TR W IE NZ
CHẮC 1.0	CH AW KC
SẮP 1.0	S AW PC
THU 1.0	TH U
XẾP 1.0	S EE PC
THÔI 1.0	TH OO IZ
TRỐN 1.0	TR OO NZ
MẤT 1.0	M AA TC
TIÊU 1.0	T IE UZ
ĐÂU 1.0	DD AA UZ
THẰNG 1.0	TH AW NGZ
MIỆNG 1.0	M IE NGZ
ĐÀN 1.0	DD A NZ
NHỎ 1.0	NH O
MỞ 1.0	M OW
TÚI 1.0	T U IZ
GÚT 1.0	G U TC
ĐEO 1.0	DD E UZ
TRÊN 1.0	TR EE NZ
CHẲNG 1.0	CH AW NGZ
XÚNG 1.0	S U NGZ
XÍNH 1.0	S I NGZ
QUẦN 1.0	K W AA NZ
ÁO 1.0	A UZ
CHƯỚNG 1.0	CH WA NGZ
NGẠI 1.0	NG A IZ
VẬT 1.0	V AA TC
NỠ 1.0	N OW
BÉ 1.0	B E
THẤT 1.0	TH AA TC
VỌNG 1.0	V O NGZ
GỬI 1.0	G UW IZ
GẮM 1.0	G AW MZ
THẢO 1.0	TH A UZ
LUẬN 1.0	L W AA NZ
XUẤT 1.0	S W AA TC
NGHĨA 1.0	NG IE
KÉM 1.0	K E MZ
CỎI 1.0	K O IZ
TÍNH 1.0	T I NGZ
HAY 1.0	H A IZ
GÁI 1.0	G A IZ
VÁY 1.0	V A IZ
CŨN 1.0	K U NZ
CỠN 1.0	K OW NZ
TRÔNG 1.0	TR OO NGZ
GẦY 1.0	G AA IZ
TRANG 1.0	TR A NGZ
PHỤC 1.0	PH U KC
MÀU 1.0	M A UZ
LƯỚI 1.0	L WA IZ
NHẶT 1.0	NH AW TC
BÓNG 1.0	B O NGZ
HOẶC 1.0	H W AW KC
BIỂU 1.0	B IE UZ
RỐI 1.0	R OO IZ
LOẠN 1.0	L W A NZ
CO 1.0	K O
BÓP 1.0	B O PC
NHẰM 1.0	NH AW MZ
HẤP 1.0	H AA PC
DẪN 1.0	D AA NZ
CẢM 1.0	K A MZ
NHẬN 1.0	NH AA NZ
THÍNH 1.0	TH I NGZ
GIÁC 1.0	D A KC
NỖI 1.0	N OO IZ
ĐƠN 1.0	DD OW NZ
BỎ 1.0	B O
QUÊN 1.0	K W EE NZ
NUNG 1.0	N U NGZ
NẤU 1.0	N AA UZ
NIỀM 1.0	N IE MZ
ĐAM 1.0	DD A MZ
MÊ 1.0	M EE
LỰC 1.0	L UW KC
THÚC 1.0	TH U KC
NHÓM 1.0	NH O MZ
SINH 1.0	S I NGZ
CÙNG 1.0	K U NGZ
ĂN 1.0	AW NZ
TẾT 1.0	T EE TC
CHUNG 1.0	CH U NGZ
TỐI 1.0	T OO IZ
RẠCH 1.0	R A KC
BÀU 1.0	B A UZ
MỚP 1.0	M OW PC
GÍ 1.0	G I
HÒN 1.0	H O NZ
THAN 1.0	TH A NZ
RƠM 1.0	R OW MZ
CHÁU 1.0	CH A UZ
SỐT 1.0	S OO TC
RẸO 1.0	R E UZ
RỌC 1.0	R O KC
SUỐT 1.0	S UO TC
ĐÊM 1.0	DD EE MZ
VẠN 1.0	V A NZ
THỌ 1.0	TH O
ƯƠM 1.0	WA MZ
KIA 1.0	K IE
XÁCH 1.0	S A KC
GIÓNG 1.0	D O NGZ
MANG 1.0	M A NGZ
VỊM 1.0	V I MZ
NỆM 1.0	N EE MZ
VẮNG 1.0	V AW NGZ
THỪ 1.0	TH UW
NGỢI 1.0	NG OW IZ
BAO 1.0	B A UZ
VÂY 1.0	V AA IZ
RÁO 1.0	R A UZ
RIẾT 1.0	R IE TC
TRƠ 1.0	TR OW
TRỌI 1.0	TR O IZ
NHÌN 1.0	NH I NZ
NGOÀI 1.0	NG W A IZ
KẺ 1.0	K E
GẶP 1.0	G AW PC
PHÒ 1.0	PH O
SAI 1.0	S A IZ
LẦM 1.0	L AA MZ
SẠN 1.0	S A NZ
TÁC 1.0	T A KC
THƠ 1.0	TH OW
TUẦN 1.0	T W AA NZ
BẢO 1.0	B A UZ
CAM 1.0	K A MZ
SÀNH 1.0	S A NGZ
LỘT 1.0	L OO TC
VỎ 1.0	V O
CHUA 1.0	CH UO
KHEN 1.0	KH E NZ
CHÊ 1.0	CH EE
GIÀ 1.0	D A
TIN 1.0	T I NZ
GẤP 1.0	G AA PC
GIỎI 1.0	D O IZ
BỐC 1.0	B OO KC
PHÉT 1.0	PH E TC
NHẮN 1.0	NH AW NZ
HÃY 1.0	H A IZ
RẰNG 1.0	R AW NGZ
TY 1.0	T I
HÙNG 1.0	H U NGZ
NGUYÊN 1.0	NG W IE NZ
DÂU 1.0	D AA UZ
BẮT 1.0	B AW TC
TỬ 1.0	T UW
HÌNH 1.0	H I NGZ
CÁO 1.0	K A UZ
XỨNG 1.0	S UW NGZ
THA 1.0	TH A
THẨN 1.0	TH AA NZ
NHÀ 1.0	NH A
NGÕ 1.0	NG O
GIAN 1.0	D A NZ
NHUỐM 1.0	NH UO MZ
TRO 1.0	TR O
BẾP 1.0	B EE PC
GIÔ 1.0	D OO
HIỀN 1.0	H IE NZ
LƯNG 1.0	L UW NGZ
CÒM 1.0	K O MZ
DOANH 1.0	D W A NGZ
NGHIỆP 1.0	NG IE PC
TUYỂN 1.0	T W IE NZ
LAO 1.0	L A UZ
THỜI 1.0	TH OW IZ
HẠN 1.0	H A NZ
SỬ 1.0	S UW
SẢN 1.0	S A NZ
PHẨM 1.0	PH AA MZ
BỘT 1.0	B OO TC
TE 1.0	T E
HOẠNH 1.0	H W A NGZ
HỌE 1.0	H W E
MÙI 1.0	M U IZ
HÔI 1.0	H OO IZ
XỘC 1.0	S OO KC
ÓC 1.0	O KC
NGỪNG 1.0	NG UW NGZ
NGHỈ 1.0	NG I
HÚT 1.0	H U TC
LOÀI 1.0	L W A IZ
CHIM 1.0	CH I MZ
LỄ 1.0	L EE
KHAI 1.0	KH A IZ
MẠC 1.0	M A KC
IM 1.0	I MZ
LẶNG 1.0	L AW NGZ
ĐƯA 1.0	DD WA
CÀO 1.0	K A UZ
BÙN 1.0	B U NZ
KHÔ 1.0	KH OO
TỚ 1.0	T OW
NGỒI 1.0	NG OO IZ
MÉT 1.0	M E TC
NỬA 1.0	N WA
VÒNG 1.0	V O NGZ
HƠN 1.0	H OW NZ
CHẬM 1.0	CH AA MZ
NẮM 1.0	N AW MZ
XU 1.0	S U
HƯỚNG 1.0	H WA NGZ
NGHỆ 1.0	NG EE
MƯỜNG 1.0	M WA NGZ
SỐ 1.0	S OO
PHẬN 1.0	PH AA NZ
À 1.0	A
LỮA 1.0	L WA
MÃI 1.0	M A IZ
DÂY 1.0	D AA IZ
NỐI 1.0	N OO IZ
MẢNH 1.0	M A NGZ
ĐỜI 1.0	DD OW IZ
QUÁN 1.0	K W A NZ
TÁN 1.0	T A NZ
RÔM 1.0	R OO MZ
RẢ 1.0	R A
CHUYỆN 1.0	CH W IE NZ
TỨC 1.0	T UW KC
ẬP 1.0	AA PC
KÉO 1.0	K E UZ
HOANG 1.0	H W A NGZ
SƠ 1.0	S OW
TÊN 1.0	T EE NZ
ĐỊA 1.0	DD IE
PHƯƠNG 1.0	PH WA NGZ
TRẮC 1.0	TR AW KC
THỐI 1.0	TH OO IZ
PHÈNG 1.0	PH E NGZ
LA 1.0	L A
CÚ 1.0	K U
NGOẶT 1.0	NG W AW TC
XÁC 1.0	S A KC
VƯƠNG 1.0	V WA NGZ
Ả 1.0	A
RẬP 1.0	R AA PC
THỐNG 1.0	TH OO NGZ
CỘNG 1.0	K OO NGZ
TOÁN 1.0	T W A NZ
HỌC 1.0	H O KC
TOÀN 1.0	T W A NZ
GIỚI 1.0	D OW IZ
THỦ 1.0	TH U
TƯỚNG 1.0	T WA NGZ
NÉ 1.0	N E
TRÁNH 1.0	TR A NGZ
BẤT 1.0	B AA TC
CÂU 1.0	K AA UZ
LẬU 1.0	L AA UZ
MA 1.0	M A
TÚY 1.0	T W I
VŨ 1.0	V U
KHÍ 1.0	KH I
QUAY 1.0	K W A IZ
TẬP 1.0	T AA PC
BÁO 1.0	B A UZ
VU 1.0	V U
VƠ 1.0	V OW
XÌNH 1.0	S I NGZ
XỊCH 1.0	S I KC
ĐOÁN 1.0	DD W A NZ
TRÚNG 1.0	TR U NGZ
PHÓC 1.0	PH O KC
HẦM 1.0	H AA MZ
RỤC 1.0	R U KC
RỊCH 1.0	R I KC
PHÔI 1.0	PH OO IZ
THÉP 1.0	TH E PC
CAO 1.0	K A UZ
DẦN 1.0	D AA NZ
THIẾT 1.0	TH IE TC
GIẢN 1.0	D A NZ
GẪU 1.0	G AA UZ
CHUI 1.0	CH U IZ
NHỦI 1.0	NH U IZ
RÂU 1.0	R AA UZ
RIA 1.0	R IE
CẠO 1.0	K A UZ
LÍNH 1.0	L I NGZ
CỨU 1.0	K UW UZ
HỎA 1.0	H W A
